1MO,3MO,6MO,1YR,2YR,3YR,5YR,7YR,10YR,20YR,30YR
2.6336117,2.759772,2.9121215,3.075903,3.240552,3.2188704,3.1684842,3.1651707,3.2024186,3.216258,3.2179294
2.6534185,2.780281,2.9330635,3.0954952,3.2597477,3.2374647,3.184084,3.1798806,3.2166886,3.2307138,3.228539
2.6973948,2.826025,2.9800675,3.138874,3.3019133,3.2788224,3.2194977,3.2135556,3.2495244,3.2649682,3.2540073
2.7908843,2.9238453,3.0819197,3.2301939,3.3891435,3.3667076,3.298083,3.288947,3.3236475,3.346483,3.3158176
2.9317355,3.071258,3.2387602,3.365093,3.5141494,3.4994633,3.4248888,3.4104066,3.4440653,3.488587,3.4257994
2.8677647,3.0044153,3.1671538,3.3041782,3.458257,3.4389539,3.3659976,3.3541362,3.3881853,3.4213498,3.373498
2.7074878,2.8364842,2.9908152,3.1487615,3.3115008,3.2882094,3.2275765,3.2212005,3.2569668,3.2727537,3.2597923
2.6475053,2.7740424,2.9266086,3.0895853,3.2540267,3.2317405,3.1791253,3.1750698,3.2119546,3.225651,3.2247202
2.6061263,2.7312145,2.8829553,3.0485487,3.213711,3.19279,3.146679,3.1445189,3.182348,3.1959426,3.2030025
2.5600736,2.6838188,2.8349721,3.002749,3.168319,3.149506,3.1114423,3.111769,3.1508164,3.1655092,3.1811807
2.5039654,2.6264555,2.7772849,2.946854,3.112432,3.0969322,3.0696206,3.0735898,3.1143525,3.1319458,3.1577427
2.4659438,2.5878086,2.7386184,2.908962,3.0742857,3.0614493,3.0418968,3.0487463,3.0908108,3.1112506,3.1436968
2.4303865,2.5518162,2.7027256,2.8735366,3.038463,3.028396,3.0163727,3.026226,3.0696077,3.093291,3.1318095
2.437693,2.559195,2.710073,2.88081,3.045832,3.0351655,3.0215728,3.030777,3.0738773,3.096839,3.1341257
2.4448318,2.5664084,2.7172577,2.887915,3.053026,3.0417821,3.026664,3.0352445,3.0780728,3.100347,3.1364262
2.4416137,2.5631492,2.7140076,2.8847065,3.049781,3.0387862,3.0243511,3.0332031,3.0761507,3.0987191,3.1353486
2.4829485,2.6050444,2.7558303,2.9258873,3.091361,3.0772526,3.0541716,3.0596588,3.101114,3.1201434,3.149658
2.512705,2.635327,2.7861612,2.9555366,3.1211627,3.105042,3.0759711,3.0792842,3.1197462,3.1367078,3.160982
2.552278,2.6757767,2.8268323,2.9949546,3.1605792,3.1421092,3.1054459,3.1061842,3.1454334,3.1603324,3.1774714
2.5830681,2.7073927,2.8587637,3.025594,3.1910377,3.1710162,3.1287901,3.127762,3.1661544,3.1800292,3.19148
2.6426573,2.7689424,2.921345,3.0847435,3.249327,3.2270646,3.1751025,3.1711824,3.2081375,3.2216082,3.221684
